Month,"Salary Date","Bonus Date"
01/2017,2017-01-31,2017-01-18
02/2017,2017-02-28,2017-02-15
03/2017,2017-03-31,2017-03-15
04/2017,2017-04-28,2017-04-19
05/2017,2017-05-31,2017-05-15
06/2017,2017-06-30,2017-06-15
07/2017,2017-07-31,2017-07-19
08/2017,2017-08-31,2017-08-15
09/2017,2017-09-29,2017-09-15
10/2017,2017-10-31,2017-10-18
11/2017,2017-11-30,2017-11-15
12/2017,2017-12-29,2017-12-15
01/2018,2018-01-31,2018-01-15
02/2018,2018-02-28,2018-02-15
03/2018,2018-03-30,2018-03-15
04/2018,2018-04-30,2018-04-18
05/2018,2018-05-31,2018-05-15
06/2018,2018-06-29,2018-06-15
07/2018,2018-07-31,2018-07-18
08/2018,2018-08-31,2018-08-15
09/2018,2018-09-28,2018-09-19
10/2018,2018-10-31,2018-10-15
11/2018,2018-11-30,2018-11-15
12/2018,2018-12-31,2018-12-19
